2024-08-29 12:08:28,054 INFO    MainThread:255404 [wandb_setup.py:_flush():76] Current SDK version is 0.16.6
2024-08-29 12:08:28,055 INFO    MainThread:255404 [wandb_setup.py:_flush():76] Configure stats pid to 255404
2024-08-29 12:08:28,055 INFO    MainThread:255404 [wandb_setup.py:_flush():76] Loading settings from /home/mathias/.config/wandb/settings
2024-08-29 12:08:28,055 INFO    MainThread:255404 [wandb_setup.py:_flush():76] Loading settings from /home/mathias/dino/wandb/settings
2024-08-29 12:08:28,055 INFO    MainThread:255404 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-08-29 12:08:28,055 INFO    MainThread:255404 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-08-29 12:08:28,055 INFO    MainThread:255404 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main_dino.py', 'program_abspath': '/home/mathias/dino/main_dino.py', 'program': '/home/mathias/dino/main_dino.py'}
2024-08-29 12:08:28,055 INFO    MainThread:255404 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-08-29 12:08:28,055 INFO    MainThread:255404 [wandb_init.py:_log_setup():521] Logging user logs to /home/mathias/dino/wandb/run-20240829_120828-lo1n450s/logs/debug.log
2024-08-29 12:08:28,055 INFO    MainThread:255404 [wandb_init.py:_log_setup():522] Logging internal logs to /home/mathias/dino/wandb/run-20240829_120828-lo1n450s/logs/debug-internal.log
2024-08-29 12:08:28,055 INFO    MainThread:255404 [wandb_init.py:init():561] calling init triggers
2024-08-29 12:08:28,055 INFO    MainThread:255404 [wandb_init.py:init():568] wandb.init called with sweep_config: {}
config: {'lr': 0.0005, 'weight_decay': 0.04, 'epochs': 10, 'batch_size': 16}
2024-08-29 12:08:28,055 INFO    MainThread:255404 [wandb_init.py:init():611] starting backend
2024-08-29 12:08:28,055 INFO    MainThread:255404 [wandb_init.py:init():615] setting up manager
2024-08-29 12:08:28,056 INFO    MainThread:255404 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-08-29 12:08:28,057 INFO    MainThread:255404 [wandb_init.py:init():623] backend started and connected
2024-08-29 12:08:28,058 INFO    MainThread:255404 [wandb_init.py:init():715] updated telemetry
2024-08-29 12:08:28,062 INFO    MainThread:255404 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2024-08-29 12:08:28,669 INFO    MainThread:255404 [wandb_run.py:_on_init():2357] communicating current version
2024-08-29 12:08:28,717 INFO    MainThread:255404 [wandb_run.py:_on_init():2366] got version response upgrade_message: "wandb version 0.17.8 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-08-29 12:08:28,718 INFO    MainThread:255404 [wandb_init.py:init():799] starting run threads in backend
2024-08-29 12:08:34,695 INFO    MainThread:255404 [wandb_run.py:_console_start():2335] atexit reg
2024-08-29 12:08:34,695 INFO    MainThread:255404 [wandb_run.py:_redirect():2190] redirect: wrap_raw
2024-08-29 12:08:34,695 INFO    MainThread:255404 [wandb_run.py:_redirect():2255] Wrapping output streams.
2024-08-29 12:08:34,695 INFO    MainThread:255404 [wandb_run.py:_redirect():2280] Redirects installed.
2024-08-29 12:08:34,696 INFO    MainThread:255404 [wandb_init.py:init():842] run started, returning control to user process
2024-08-29 12:19:42,614 INFO    MainThread:255404 [wandb_run.py:_finish():2064] finishing run moto1-technische-universit-t-m-nchen/uni_cell_dino/lo1n450s
2024-08-29 12:19:42,615 INFO    MainThread:255404 [wandb_run.py:_atexit_cleanup():2304] got exitcode: 0
2024-08-29 12:19:42,615 INFO    MainThread:255404 [wandb_run.py:_restore():2287] restore
2024-08-29 12:19:42,615 INFO    MainThread:255404 [wandb_run.py:_restore():2293] restore done
2024-08-29 12:19:51,435 INFO    MainThread:255404 [wandb_run.py:_footer_history_summary_info():3936] rendering history
2024-08-29 12:19:51,436 INFO    MainThread:255404 [wandb_run.py:_footer_history_summary_info():3968] rendering summary
2024-08-29 12:19:51,440 INFO    MainThread:255404 [wandb_run.py:_footer_sync_info():3895] logging synced files
